suscribed,age,job,education,marital,Income,Kidhome,Teenhome
no,38,Administration,Professional Course,MARRIED,82735,2,1
no,50,Administration,University,MARRIED,21488,1,2
no,45,Industry,High school,MARRIED,165897,1,2
no,55,Non-active,Professional Course,MARRIED,20845,2,2
no,25,Administration,University,SINGLE,42782,0,1
no,38,Independent,University,MARRIED,140136,2,2
no,51,Industry,Basic education,MARRIED,76853,2,0
no,38,Industry,Basic education,MARRIED,61337,0,1
no,42,Industry,Basic education,MARRIED,178376,1,1
no,48,Administration,High school,MARRIED,83568,0,2
no,37,Administration,University,MARRIED,114438,1,0
no,38,Industry,Basic education,SINGLE,128341,2,0
no,38,Administration,Unknown,MARRIED,26244,0,2
no,56,Administration,Basic education,MARRIED,130764,1,0
no,38,Industry,Basic education,SINGLE,141859,2,1
no,41,Administration,Basic education,MARRIED,55445,0,2
no,44,Administration,University,DIVORCED,77947,1,1
no,47,Administration,University,MARRIED,67439,0,1
no,57,Not specified,Unknown,MARRIED,80033,0,0
no,37,Administration,University,MARRIED,93745,0,2
yes,41,Industry,Basic education,DIVORCED,51945,1,1
no,55,Administration,University,MARRIED,177873,0,0
no,38,Industry,High school,MARRIED,121966,1,1
no,55,Administration,Unknown,MARRIED,167586,0,1
no,42,Industry,Basic education,MARRIED,70480,1,2
no,50,Industry,Basic education,MARRIED,18714,2,2
no,51,Industry,Basic education,MARRIED,74584,0,1
no,38,Administration,High school,MARRIED,7462,2,2
yes,49,Independent,University,MARRIED,153359,0,2
no,38,Administration,University,SINGLE,138685,2,0
no,31,Administration,High school,DIVORCED,116608,1,0
no,38,Administration,Basic education,MARRIED,14417,1,0
no,39,Administration,University,MARRIED,99031,0,0
yes,49,Administration,Basic education,MARRIED,93507,2,1
no,34,Administration,High school,MARRIED,68707,1,0
no,35,Administration,University,MARRIED,119162,1,0
no,38,Not specified,Unknown,MARRIED,74474,2,1
no,60,Administration,Unknown,MARRIED,111496,2,0
no,33,Non-active,Basic education,MARRIED,95189,0,0
no,42,Industry,Basic education,MARRIED,45768,1,1
no,45,Industry,Professional Course,MARRIED,122783,0,0
no,42,Administration,University,MARRIED,98678,0,0
no,53,Administration,University,DIVORCED,21072,0,0
no,37,Administration,Professional Course,SINGLE,60378,1,2
no,44,Industry,Basic education,MARRIED,145871,0,2
no,54,Industry,Unknown,MARRIED,109725,1,0
no,49,Industry,Basic education,MARRIED,96711,0,0
no,54,Industry,Unknown,MARRIED,12244,0,0
no,52,Administration,University,DIVORCED,36606,1,1
no,52,Administration,University,DIVORCED,154051,2,2
no,43,Industry,High school,SINGLE,29727,1,2
no,34,Non-active,Basic education,MARRIED,54061,2,2
no,35,Administration,High school,MARRIED,127139,0,0
no,42,Independent,Unknown,MARRIED,85638,1,0
no,43,Administration,Unknown,MARRIED,170502,0,0
no,60,Non-active,University,DIVORCED,50221,2,2
no,58,Non-active,Basic education,MARRIED,163061,0,1
no,35,Industry,High school,DIVORCED,155704,2,1
no,55,Industry,Basic education,MARRIED,20900,0,0
no,38,Administration,University,MARRIED,51445,0,0
no,36,Industry,High school,MARRIED,91718,0,1
no,38,Administration,University,DIVORCED,117747,2,1
no,57,Industry,Unknown,DIVORCED,36342,2,0
no,56,Administration,Unknown,MARRIED,162740,0,1
no,50,Administration,Basic education,MARRIED,134274,0,2
no,31,Administration,Professional Course,DIVORCED,85870,1,0
no,56,Non-active,Basic education,MARRIED,50634,1,1
yes,41,Administration,Professional Course,MARRIED,7888,2,2
no,37,Industry,Basic education,MARRIED,85274,2,1
no,41,Administration,Professional Course,MARRIED,169322,0,1
no,35,Industry,Unknown,MARRIED,106503,1,0
no,37,Industry,Basic education,MARRIED,126858,1,2
no,52,Administration,University,MARRIED,130178,2,1
no,39,Administration,University,DIVORCED,80424,0,2
no,39,Non-active,Basic education,MARRIED,51265,0,0
no,56,Industry,Basic education,MARRIED,104559,1,0
no,34,Industry,High school,MARRIED,33226,2,0
yes,38,Industry,Basic education,MARRIED,10184,1,1
no,38,Non-active,University,SINGLE,156831,0,2
no,38,Administration,Unknown,MARRIED,31763,1,2
no,39,Administration,University,MARRIED,64183,0,1
no,53,Industry,Basic education,MARRIED,134200,1,1
no,38,Not specified,High school,DIVORCED,105920,1,0
no,42,Industry,Basic education,MARRIED,39463,2,2
no,42,Industry,Basic education,MARRIED,21484,2,0
no,38,Administration,High school,SINGLE,45847,2,2
no,40,Administration,University,MARRIED,86345,0,2
no,38,Industry,Basic education,MARRIED,83962,1,0
no,60,Industry,Basic education,MARRIED,105105,2,2
no,56,Independent,Unknown,MARRIED,164145,0,2
no,39,Industry,High school,DIVORCED,106467,1,2
no,56,Independent,Unknown,MARRIED,167719,1,1
no,40,Industry,Unknown,MARRIED,67423,1,2
no,36,Industry,Basic education,MARRIED,112397,2,0
no,51,Industry,Unknown,MARRIED,146893,2,2
no,51,Industry,Unknown,MARRIED,56252,0,2
no,43,Administration,Professional Course,SINGLE,16214,2,2
no,59,Industry,High school,MARRIED,108022,0,0
no,38,Administration,University,SINGLE,6769,1,2
no,37,Industry,Basic education,SINGLE,39731,1,0
no,40,Industry,Basic education,MARRIED,103926,1,1
no,42,Industry,Basic education,MARRIED,51840,1,2
no,39,Industry,High school,DIVORCED,64554,2,1
no,37,Independent,Basic education,MARRIED,122612,2,1
no,38,Industry,High school,MARRIED,47444,2,1
no,56,Administration,Unknown,DIVORCED,112443,1,0
no,40,Industry,Unknown,MARRIED,173802,1,1
no,54,Administration,University,DIVORCED,134003,1,1
no,38,Industry,High school,MARRIED,118281,0,2
no,36,Industry,High school,MARRIED,80885,1,2
no,45,Administration,University,MARRIED,152416,2,0
no,42,Administration,University,SINGLE,65564,1,2
no,43,Industry,High school,MARRIED,35413,2,0
no,46,Administration,Basic education,MARRIED,56344,0,2
no,44,Industry,High school,MARRIED,60989,1,1
no,51,Administration,Basic education,SINGLE,178385,1,1
no,28,Industry,High school,MARRIED,99232,2,2
no,37,Industry,Basic education,MARRIED,134200,1,1
no,38,Administration,High school,MARRIED,76605,2,2
no,46,Industry,Basic education,MARRIED,127797,2,1
yes,42,Industry,Basic education,MARRIED,144023,2,2
no,36,Administration,University,MARRIED,33535,2,1
no,38,Industry,Basic education,MARRIED,166017,0,2
no,57,Administration,University,MARRIED,35525,2,1
no,51,Administration,Basic education,MARRIED,172098,2,1
no,54,Non-active,High school,MARRIED,178330,1,1
no,49,Industry,Basic education,MARRIED,90807,1,2
no,40,Administration,Basic education,MARRIED,169427,2,1
no,43,Industry,Basic education,MARRIED,81421,0,1
no,33,Industry,High school,MARRIED,117262,0,2
no,32,Industry,Basic education,SINGLE,68233,0,1
no,39,Industry,High school,MARRIED,55950,1,1
no,43,Administration,Unknown,MARRIED,47679,2,1
no,44,Industry,Basic education,MARRIED,147166,1,0
no,35,Non-active,University,SINGLE,99210,1,1
no,35,Non-active,University,SINGLE,15666,2,0
no,35,Non-active,Professional Course,MARRIED,79384,1,2
no,36,Industry,Basic education,SINGLE,118295,1,2
no,35,Non-active,University,SINGLE,71155,2,1
no,36,Non-active,Basic education,SINGLE,42460,0,2
no,55,Non-active,University,DIVORCED,57435,2,0
no,59,Administration,University,MARRIED,29404,2,1
no,57,Non-active,Unknown,MARRIED,54001,0,0
no,39,Industry,Professional Course,MARRIED,82283,2,2
no,39,Non-active,Basic education,MARRIED,113569,0,2
no,38,Industry,Unknown,SINGLE,131182,2,1
no,30,Industry,Unknown,SINGLE,94993,0,1
no,50,Non-active,Basic education,MARRIED,7992,1,1
no,38,Industry,High school,MARRIED,13175,1,2
no,35,Administration,High school,MARRIED,157838,1,0
no,43,Administration,Unknown,MARRIED,109358,0,2
no,36,Industry,Basic education,SINGLE,41057,2,1
no,46,Administration,Basic education,MARRIED,34723,0,0
no,40,Administration,Basic education,MARRIED,34205,2,0
no,58,Non-active,University,MARRIED,11599,0,2
no,42,Administration,University,MARRIED,109051,2,2
no,35,Administration,University,SINGLE,12413,2,1
no,38,Non-active,Basic education,MARRIED,36014,1,1
no,45,Industry,Basic education,MARRIED,36364,1,0
no,38,Administration,Professional Course,MARRIED,64302,0,2
no,50,Industry,Professional Course,DIVORCED,87368,0,0
no,32,Administration,Basic education,DIVORCED,67820,1,0
no,39,Administration,High school,MARRIED,130920,0,2
no,38,Independent,University,MARRIED,171230,2,1
no,44,Administration,Professional Course,MARRIED,40547,1,0
no,56,Industry,Basic education,MARRIED,146654,2,0
no,48,Administration,High school,MARRIED,170376,1,0
no,33,Industry,High school,MARRIED,176144,2,1
no,38,Administration,University,MARRIED,138690,2,0
no,57,Non-active,High school,MARRIED,13859,0,1
no,36,Administration,Professional Course,SINGLE,79346,2,1
no,34,Administration,University,MARRIED,91964,0,2
no,38,Industry,Basic education,SINGLE,107187,2,1
no,30,Administration,University,MARRIED,6532,1,1
no,38,Industry,Unknown,DIVORCED,20444,1,2
no,32,Administration,Professional Course,SINGLE,160073,2,2
no,36,Administration,High school,SINGLE,55191,2,1
no,36,Industry,High school,SINGLE,31742,1,2
no,38,Industry,High school,SINGLE,9261,0,1
no,40,Administration,Professional Course,DIVORCED,35244,2,0
no,41,Industry,Basic education,MARRIED,154429,0,0
no,38,Industry,Basic education,MARRIED,7147,0,0
no,36,Administration,Professional Course,MARRIED,161522,1,0
no,28,Industry,Unknown,MARRIED,34613,0,2
no,53,Industry,High school,MARRIED,167116,1,2
no,58,Industry,Basic education,MARRIED,134847,0,2
no,45,Administration,Basic education,MARRIED,167682,0,0
no,43,Administration,Unknown,MARRIED,122426,2,1
no,33,Administration,High school,MARRIED,177965,1,2
no,38,Administration,High school,MARRIED,59636,1,0
no,27,Industry,Basic education,SINGLE,20717,1,1
no,38,Administration,High school,MARRIED,173812,1,1
no,43,Administration,Basic education,DIVORCED,74817,0,1
no,42,Administration,University,MARRIED,144212,1,2
no,27,Industry,Basic education,SINGLE,84148,0,0
no,34,Independent,University,SINGLE,168374,2,2
no,31,Non-active,University,SINGLE,117145,0,0
no,38,Administration,University,DIVORCED,124996,0,2
no,40,Independent,Basic education,MARRIED,102775,2,2
no,52,Non-active,High school,MARRIED,30991,0,2
no,47,Administration,University,DIVORCED,64978,2,1
no,49,Non-active,Basic education,MARRIED,175569,2,2
no,32,Administration,High school,SINGLE,86740,2,1
no,49,Non-active,High school,SINGLE,143571,1,2
no,50,Industry,Basic education,MARRIED,94909,2,2
no,34,Industry,High school,MARRIED,49620,2,1
no,55,Industry,Basic education,MARRIED,73674,2,0
no,47,Administration,Basic education,SINGLE,34999,2,0
no,51,Non-active,Professional Course,MARRIED,169970,0,0
no,38,Industry,Basic education,MARRIED,107093,1,2
no,38,Administration,Basic education,MARRIED,176655,0,1
no,53,Administration,Basic education,MARRIED,174572,1,1
no,38,Industry,Basic education,MARRIED,85604,1,0
no,42,Industry,Basic education,DIVORCED,33878,2,2
no,44,Industry,Basic education,DIVORCED,9559,2,1
yes,39,Non-active,Basic education,MARRIED,176226,1,1
no,37,Administration,High school,SINGLE,130556,2,2
no,38,Industry,Unknown,MARRIED,45991,1,2
no,36,Industry,High school,MARRIED,152701,0,1
no,42,Administration,University,DIVORCED,44950,2,2
no,31,Administration,High school,MARRIED,154583,0,2
no,38,Administration,Professional Course,DIVORCED,168432,2,1
no,45,Industry,Basic education,MARRIED,154025,1,2
no,37,Administration,Professional Course,SINGLE,19310,2,0
no,47,Independent,Professional Course,MARRIED,7693,2,2
no,38,Industry,High school,DIVORCED,51151,0,1
no,36,Administration,University,MARRIED,8017,1,0
no,35,Industry,High school,DIVORCED,112024,2,2
no,38,Not specified,Unknown,MARRIED,173323,2,2
no,38,Industry,High school,SINGLE,75984,2,2
no,50,Industry,High school,DIVORCED,23529,0,2
no,59,Non-active,Professional Course,MARRIED,10444,2,1
no,43,Not specified,Unknown,MARRIED,100367,0,2
no,42,Administration,High school,MARRIED,136221,0,0
no,40,Administration,Basic education,MARRIED,105010,2,0
no,46,Industry,Unknown,MARRIED,146243,2,0
no,57,Non-active,Basic education,DIVORCED,54141,0,1
no,42,Administration,University,MARRIED,94256,0,1
no,41,Industry,Basic education,MARRIED,6327,1,2
no,40,Industry,Basic education,MARRIED,150454,0,1
no,54,Administration,Professional Course,MARRIED,66899,1,1
no,38,Non-active,Professional Course,SINGLE,137931,0,0
no,26,Administration,University,SINGLE,65466,2,1
no,33,Administration,High school,MARRIED,176288,2,2
no,35,Industry,Basic education,MARRIED,153043,0,0
no,38,Administration,High school,MARRIED,174988,1,2
no,29,Industry,High school,SINGLE,21022,1,0
no,36,Industry,Basic education,MARRIED,170643,2,1
no,35,Administration,High school,MARRIED,50728,2,0
no,50,Independent,University,SINGLE,56411,1,0
no,46,Industry,High school,MARRIED,45672,1,2
no,49,Independent,High school,MARRIED,81988,1,2
no,42,Administration,Professional Course,SINGLE,126142,0,1
no,36,Industry,High school,SINGLE,28832,2,0
no,55,Industry,Basic education,MARRIED,120185,0,1
no,41,Administration,University,MARRIED,99559,0,1
no,57,Administration,Professional Course,MARRIED,17784,2,1
no,32,Industry,High school,SINGLE,159287,2,1
no,49,Administration,Basic education,MARRIED,19818,0,1
no,57,Not specified,Unknown,MARRIED,10743,1,0
no,58,Industry,Basic education,DIVORCED,102841,2,1
no,52,Administration,High school,MARRIED,159618,0,2
no,38,Industry,Professional Course,DIVORCED,40091,2,2
no,41,Industry,Basic education,SINGLE,67913,0,0
no,33,Independent,University,MARRIED,73833,0,1
no,38,Industry,Basic education,MARRIED,179234,2,1
no,48,Industry,Basic education,MARRIED,131992,2,1
no,55,Administration,Professional Course,MARRIED,93227,0,1
no,38,Administration,University,MARRIED,9104,2,2
no,38,Industry,High school,MARRIED,21510,2,0
no,53,Administration,University,MARRIED,33546,0,1
no,43,Non-active,University,SINGLE,130044,1,0
no,38,Industry,High school,SINGLE,79450,1,1
no,32,Industry,Basic education,MARRIED,96785,2,2
no,33,Industry,Basic education,MARRIED,129649,1,1
no,58,Independent,Basic education,MARRIED,67127,0,1
no,38,Non-active,High school,DIVORCED,138600,0,0
no,57,Administration,University,MARRIED,28941,1,2
no,45,Administration,High school,MARRIED,106117,1,0
no,42,Industry,Basic education,MARRIED,102520,2,2
no,46,Administration,University,MARRIED,124574,2,0
no,36,Administration,University,MARRIED,118942,1,0
no,38,Independent,High school,MARRIED,109622,0,0
no,38,Administration,Basic education,DIVORCED,47651,1,1
no,49,Industry,Basic education,MARRIED,70176,2,0
no,56,Administration,High school,DIVORCED,156751,1,0
no,37,Industry,Basic education,MARRIED,24669,2,1
no,37,Industry,Basic education,MARRIED,53108,0,0
no,38,Administration,High school,SINGLE,146285,2,1
no,22,Industry,Basic education,SINGLE,133129,0,1
no,38,Industry,High school,MARRIED,163910,2,0
no,49,Industry,Unknown,MARRIED,131810,2,1
no,41,Administration,Basic education,MARRIED,88140,1,2
no,38,Administration,University,SINGLE,106485,2,2
no,33,Administration,Basic education,MARRIED,27511,0,0
no,49,Administration,University,MARRIED,51060,0,2
no,30,Industry,Unknown,SINGLE,57583,0,0
no,33,Administration,Basic education,MARRIED,134205,0,0
no,34,Administration,University,SINGLE,48562,2,2
no,30,Non-active,Unknown,SINGLE,179390,1,2
no,59,Administration,Basic education,MARRIED,113963,1,1
no,59,Administration,Basic education,MARRIED,27862,2,1
no,41,Independent,University,MARRIED,97075,0,2
no,48,Non-active,Basic education,MARRIED,56102,2,2
yes,28,Not specified,Unknown,SINGLE,48638,1,2
yes,44,Industry,High school,MARRIED,122186,0,2
no,59,Non-active,University,,131168,1,1
no,50,Administration,High school,MARRIED,140476,2,1
no,35,Administration,University,MARRIED,77195,0,1
no,42,Administration,High school,MARRIED,27811,2,0
no,45,Administration,Basic education,MARRIED,131033,2,1
no,36,Administration,Professional Course,MARRIED,113503,2,0
no,38,Industry,High school,MARRIED,175723,1,1
no,29,Industry,Basic education,DIVORCED,39594,0,0
no,41,Independent,University,MARRIED,95152,1,0
no,38,Industry,Basic education,MARRIED,147399,1,0
no,52,Industry,High school,SINGLE,139591,0,1
no,38,Industry,High school,MARRIED,7982,2,1
no,31,Industry,High school,MARRIED,93677,2,2
no,43,Non-active,University,MARRIED,49778,2,0
no,36,Industry,Basic education,MARRIED,158034,1,0
no,42,Independent,University,MARRIED,78820,2,2
no,52,Industry,Basic education,DIVORCED,14673,0,2
no,39,Administration,High school,MARRIED,135278,2,0
no,36,Industry,High school,MARRIED,43684,1,2
no,42,Industry,Basic education,MARRIED,91731,2,1
no,41,Administration,High school,MARRIED,163308,0,2
no,55,Administration,Basic education,MARRIED,72978,0,0
no,30,Industry,Basic education,MARRIED,117783,2,1
no,57,Non-active,Basic education,,42070,0,1
no,45,Independent,Basic education,MARRIED,149206,0,1
no,51,Industry,Basic education,MARRIED,179991,1,2
no,38,Independent,Basic education,SINGLE,110860,0,1
no,47,Administration,High school,MARRIED,97951,0,2
no,38,Industry,High school,MARRIED,47266,0,0
no,34,Administration,University,SINGLE,150403,1,0
no,57,Industry,Basic education,MARRIED,48139,2,0
no,43,Independent,Basic education,MARRIED,14176,2,0
no,49,Industry,Basic education,MARRIED,60539,2,1
no,39,Administration,University,MARRIED,138345,0,0
no,38,Industry,Basic education,MARRIED,121207,2,2
no,49,Industry,Basic education,MARRIED,89354,1,2
no,58,Administration,Basic education,MARRIED,93067,1,1
no,43,Administration,Professional Course,MARRIED,40850,2,2
no,50,Not specified,Unknown,MARRIED,45157,2,0
no,31,Industry,High school,MARRIED,20691,1,1
no,43,Independent,University,DIVORCED,55441,1,0
no,43,Independent,Basic education,MARRIED,100982,2,1
no,30,Independent,University,SINGLE,11087,2,0
no,27,Industry,Professional Course,SINGLE,164814,0,2
no,51,Industry,Unknown,MARRIED,45990,1,1
no,37,Administration,Professional Course,MARRIED,144554,1,2
no,46,Non-active,Basic education,MARRIED,152242,0,0
no,35,Industry,Professional Course,MARRIED,97101,2,2
no,47,Administration,University,DIVORCED,159585,0,1
no,46,Administration,Unknown,MARRIED,101565,1,0
no,40,Administration,Professional Course,MARRIED,159124,2,1
no,26,Non-active,University,MARRIED,33512,2,2
no,32,Industry,Basic education,DIVORCED,160554,2,0
no,45,Administration,University,MARRIED,40058,1,1
no,34,Administration,Basic education,MARRIED,12446,0,0
no,47,Industry,Unknown,MARRIED,157577,0,0
yes,42,Administration,Professional Course,MARRIED,78882,2,2
no,40,Industry,Basic education,MARRIED,154609,2,0
no,44,Administration,Basic education,SINGLE,21669,1,2
no,42,Administration,High school,DIVORCED,93674,1,1
no,38,Independent,University,MARRIED,168522,1,1
no,31,Industry,Basic education,SINGLE,113459,1,1
no,32,Industry,High school,MARRIED,33404,2,0
no,44,Administration,High school,MARRIED,25473,2,1
no,39,Administration,Basic education,MARRIED,81365,2,2
no,57,Administration,Professional Course,MARRIED,57618,1,2
no,52,Administration,Basic education,MARRIED,117323,1,2
yes,42,Administration,University,MARRIED,39817,0,1
no,42,Administration,Professional Course,SINGLE,58746,1,2
no,38,Administration,Professional Course,MARRIED,143882,0,2
no,31,Administration,High school,DIVORCED,30184,0,1
no,29,Administration,University,MARRIED,15373,1,0
no,57,Industry,Basic education,DIVORCED,107764,1,1
no,44,Industry,Basic education,MARRIED,40317,2,1
no,59,Not specified,Unknown,MARRIED,142126,1,2
no,39,Industry,Basic education,MARRIED,137813,2,1
no,57,Non-active,University,MARRIED,75936,0,2
no,41,Administration,Unknown,MARRIED,119409,2,2
no,37,Administration,High school,SINGLE,144766,2,1
no,38,Industry,High school,MARRIED,41083,1,2
no,42,Non-active,Basic education,MARRIED,12041,1,1
no,49,Not specified,Unknown,MARRIED,73085,0,1
no,54,Administration,Basic education,MARRIED,178996,0,1
no,36,Administration,University,MARRIED,46581,1,1
no,32,Administration,University,SINGLE,152801,0,2
no,35,Administration,Professional Course,MARRIED,12832,1,0
no,45,Non-active,Professional Course,MARRIED,49527,0,1
no,56,Administration,Unknown,MARRIED,25439,1,2
no,38,Administration,University,MARRIED,35645,1,0
no,41,Non-active,Basic education,MARRIED,144024,1,2
no,41,Industry,Basic education,MARRIED,80335,1,2
no,36,Industry,Basic education,MARRIED,113488,2,0
no,38,Administration,University,SINGLE,50837,0,2
no,31,Industry,High school,MARRIED,99535,0,0
no,38,Administration,Professional Course,MARRIED,52310,2,1
no,38,Administration,University,DIVORCED,10985,1,2
no,53,Administration,Professional Course,MARRIED,13099,2,0
no,51,Administration,Basic education,MARRIED,95611,1,2
no,56,Independent,University,MARRIED,83728,2,1
no,33,Administration,Basic education,MARRIED,114030,0,1
no,33,Administration,Basic education,MARRIED,38487,2,1
no,51,Industry,High school,DIVORCED,23366,1,0
yes,39,Industry,High school,MARRIED,70444,1,2
no,45,Independent,University,MARRIED,14937,1,0
no,40,Administration,University,SINGLE,99069,0,1
no,60,Not specified,Unknown,SINGLE,153760,2,0
no,33,Administration,University,MARRIED,140785,1,1
no,38,Industry,High school,MARRIED,5971,2,0
no,48,Industry,Basic education,MARRIED,138564,1,1
no,43,Independent,High school,MARRIED,26984,0,1
no,37,Administration,University,MARRIED,53224,0,1
no,50,Industry,Basic education,MARRIED,95045,1,0
no,59,Independent,High school,MARRIED,79676,1,0
no,32,Administration,Unknown,MARRIED,114053,2,0
no,42,Non-active,Basic education,SINGLE,9667,1,2
no,52,Industry,Basic education,MARRIED,173871,2,0
no,42,Industry,Unknown,MARRIED,131192,0,2
no,42,Administration,Unknown,MARRIED,154422,1,2
no,40,Administration,Basic education,MARRIED,49431,2,0
no,38,Industry,Basic education,MARRIED,87782,1,0
no,39,Industry,Basic education,MARRIED,89491,2,1
no,39,Industry,Basic education,MARRIED,140323,0,2
no,38,Administration,High school,MARRIED,95416,0,2
no,47,Administration,Unknown,SINGLE,19664,2,2
no,30,Industry,High school,SINGLE,153820,0,2
no,38,Administration,High school,DIVORCED,162806,0,1
no,39,Administration,University,DIVORCED,36797,2,2
no,44,Administration,High school,MARRIED,55498,1,2
no,36,Administration,High school,MARRIED,55094,0,2
no,41,Industry,High school,MARRIED,80740,1,0
no,41,Industry,Basic education,MARRIED,82548,1,1
no,35,Industry,Basic education,MARRIED,7024,1,0
no,41,Administration,High school,MARRIED,24606,2,2
no,36,Industry,High school,MARRIED,175057,2,0
no,35,Administration,High school,SINGLE,179287,2,0
no,38,Industry,Basic education,SINGLE,41068,0,1
no,38,Administration,Basic education,SINGLE,84349,1,0
no,33,Independent,University,MARRIED,140361,2,1
no,55,Independent,Unknown,MARRIED,30535,2,1
no,36,Industry,Basic education,SINGLE,149598,2,2
no,57,Administration,Professional Course,MARRIED,15799,2,1
no,32,Independent,University,SINGLE,94245,0,1
no,30,Independent,High school,SINGLE,174207,1,0
no,43,Administration,Professional Course,MARRIED,121326,1,1
no,46,Administration,University,MARRIED,124511,0,1
no,35,Administration,High school,DIVORCED,137162,1,2
no,34,Administration,University,SINGLE,136058,0,1
no,50,Industry,Basic education,MARRIED,160139,1,1
no,39,Administration,University,SINGLE,142542,2,2
no,39,Industry,Basic education,MARRIED,100349,2,1
no,42,Independent,Basic education,MARRIED,118257,2,0
no,57,Non-active,University,MARRIED,136728,0,0
no,45,Industry,Basic education,MARRIED,91373,1,1
no,40,Administration,Basic education,MARRIED,70742,1,0
yes,42,Industry,High school,MARRIED,149965,1,1
no,40,Administration,Basic education,MARRIED,126999,0,1
no,36,Administration,Professional Course,MARRIED,41875,1,0
no,51,Industry,Basic education,MARRIED,8282,1,1
no,56,Non-active,Basic education,MARRIED,96961,0,0
no,45,Non-active,High school,MARRIED,84043,1,0
no,42,Administration,High school,MARRIED,53002,0,1
no,41,Administration,High school,DIVORCED,34807,0,0
no,32,Industry,High school,MARRIED,17805,1,0
no,46,Administration,University,MARRIED,130698,1,0
no,37,Industry,Unknown,MARRIED,9274,0,2
no,53,Administration,University,MARRIED,23497,2,0
no,30,Industry,Basic education,MARRIED,79064,0,2
no,38,Not specified,Unknown,MARRIED,19517,1,0
no,24,Administration,Professional Course,SINGLE,30250,0,2
no,45,Not specified,Unknown,MARRIED,36565,1,2
no,34,Administration,University,SINGLE,158707,2,1
no,38,Administration,University,MARRIED,132488,1,2
no,59,Industry,Basic education,MARRIED,26289,0,0
no,45,Industry,Basic education,MARRIED,59508,0,0
no,54,Industry,Basic education,MARRIED,96068,1,0
no,32,Administration,Professional Course,MARRIED,179051,1,2
no,33,Administration,Professional Course,MARRIED,139269,2,2
no,32,Administration,University,MARRIED,135510,0,2
no,34,Industry,High school,SINGLE,62492,1,2
no,46,Administration,University,MARRIED,93319,0,1
no,57,Administration,Professional Course,MARRIED,149916,1,2
no,38,Administration,Basic education,MARRIED,173665,2,0
no,48,Administration,Professional Course,MARRIED,115142,1,1
no,58,Administration,University,DIVORCED,58136,1,0
no,38,Industry,High school,MARRIED,97558,2,2
no,32,Administration,University,SINGLE,81730,0,2
no,38,Industry,Basic education,MARRIED,59100,2,2
no,47,Industry,Basic education,MARRIED,156860,2,0
no,31,Industry,High school,MARRIED,166475,1,0
no,32,Administration,University,SINGLE,19935,0,0
no,32,Administration,University,SINGLE,83961,1,1
